Data Komentar TIKTOK,Labeling
Aku sebagai pemakai Hb noera bangga banget congrats ka rere,positif
mending noera apa lauskin?,netral
tapi kok di aku ga ngaruh,negatif
"ikut gemeteran karena aku pake noera, ini cepet banget bikin kulit aku cerah,,,dan yapppp noera emang the best",positif
Yeayy bangga banget sebagai pemakai hb noera,positif
aku udah habis 10 pot hb Noera emang semantul itu dikulit ku,positif
"Tp kenapa hb"" dosting gaada yg bisa mutihin dok?",netral
semakin yakin buat trus pkek produk noera,positif
yeeeeeay  congratz noera ,positif
Doktiff makasih banyakk yaa semenjak pakai serum hanasui bekas jrawat hitam aku bisa sembuhh  padahal cuma pakai serum murah ,positif
Selamat bu owner noera aku bangga bangett ngeliattnya karna aku juga pemakai hb dosting noera,positif
dokkkk tapi kenapa aku pake ini dan udah mau habis keliat,netral
"kok ngak di cek semua kandungan, niacinemaid saja yg dicek, alfaarbutin, teraxenamide nga dicek.",netral
"mau beli ga punya duittttt,",netral
Hi guys udah panik nih denger denger jadi tersangaka,netral
kan jadi makin tau sekarang kalok sebagus itu ,positif
kamu yg panik,negatif
para owner skincare berasa ujian praktek,netral
aftermyskin dok,netral
Dok Tolong Review Gloglowing dok Aku pake sudah 3 minggu Berjerawatan terus ,netral
yeeeeay... congratz noera ,positif
tim noera ni ,positif
"emang noera mantull banget gausah d raguin lagi doktif approved , pantesan banyak yg ngambil testinyaa org produknya beneran mantul, real review pembeli ",positif
dok coba Hb beauty haloca,netral
Aaaaa masyaallah akhirnya,positif
Sebelum doktif approv udah approv aku sendiri sih karna emng bagus banget ,positif
Yeayy congrats noera,positif
yeee  congrats noera luvvv,positif
Masyyaallah sudah lah owner nya baik buat para affiliate ternyata amanaha dan reall ingredients nya,positif
"sedih banget ktnya dokter detektif sudah jadi tersangaka,,semoga gak benar ya dok",positif
"selamat buk owner noerah , makasih doktif",positif
ngga takut lagi kalau udah di approve doktif,positif
"dok yg dicek kenapaa niacin aja alpha arbutin dan tranexnya kenapaa gak dicek, pnsran soalnya mau coba?",netral
Yeeyyy emang no kaleng2 hasilnya nyata banget di aku yg punya kulitbadakkk,positif
klo pke kb implan tetep gak mempan kulit tetep kusem.. meski perawatan rutin.. ,negatif
"berarti owner yang belum sekaya Ss, RG, Daviena benar-benar amanah karena mereka bukan hanya memikirkan harta semata tapi memikirkan masyarakat kecil karena mereka tau gimana susahnya cari uang untuk beli skincare",netral
Yeaaaay hb dosting kecintaan aku ,positif
Produk amanah dan efektif! Bikin kulit makin cerah dan sehat! ,positif
dok coba review glowingin skincare whitening dok aku pake itu dok,netral
Bagus Noera apa aftermyskin?,netral
brand2 Bagus yg TDK flexing aman2 aja ga ada huru hara,positif
doktif review precious skin alpha arbutin body lotion itu viral banget penjualannya puluh ribuan,positif
langsung cuss belii,positif
"owner yg kalem2 aja, tp produknya bagus2 & terbukti sesuai claimnya yg ginilahh yg harusnya di apresiasi bikin bangga sm buatan lokal, Noera",positif
akhirnya Hb noera approvep doktif juga yehhhh ,positif
Noera mah sebagus ituu udah gak di ragukan lgi,positif
scincare glow glowing dok,netral
dok coba Hb aftermyskin,netral
dok review lotion syb yang lotion + serum,positif
"pas banget lagi cari HB Dosting yang aman, tunggu review doktif baru beli",positif
"Noera gausah diraguin lagi sih, Niacinamide, Trenamix acid dan Alpha Arbutin semuanya udah ada ujilabnya dan sesuai klaimnya. termasuk bebas dri Merkuncrit juga",positif
Makin menyala HB dostingakuu,positif
wihh noera udah di epruf doktif selamat KA Rere ,positif
Alhamdulillah Terima kasih dok Noera memang gong bnget,positif
"wahh bangga Banget, noera d approve sama doktif ",positif
Doktifff aku pakek skincare dan bodycare yg doktif approved,positif
belii ahh,positif
yeayy congrats noera,positif
AKHIRNYA di aku HB DOSTING NOER cepet banget kulit ku cerahternyata betul betul bagus ingredients nya sesuai!!! REAL!!,positif
yeayy alhamdulillah congrats kak Rere congrats noera,positif
yeyy aprove doktif,positif
Bagusan noera atau aftermyskin butuh review jujur,netral
akhirnyaaaa aku nunggu review doktif sebelum co,positif
